dataset,repeat,fold,split,seed,train_size,test_size,test_acc,test_bacc,test_macro_f1,n_rules,enh_depth,enh_total_nodes,enh_time,fold_total_time
PAGEB,1,1,1,2026,4378,1095,0.952511416,0.537099757,0.579690994,60,7,7,1.977299987,2.784206584
PAGEB,1,2,2,2027,4378,1095,0.962557078,0.639097266,0.653119779,60,19,156,3.944030172,4.591983475
PAGEB,1,3,3,2028,4378,1095,0.948858447,0.589973027,0.661977036,60,9,9,1.550739451,1.750723685
PAGEB,1,4,4,2029,4379,1094,0.956124314,0.554014063,0.616406579,60,18,155,4.01914239,4.671032452
PAGEB,1,5,5,2030,4379,1094,0.969835466,0.781275806,0.843037725,60,19,126,3.449332044,4.010297092
PAGEB,2,1,6,2031,4378,1095,0.951598174,0.631116653,0.711012428,60,18,18,2.107034817,2.332045503
PAGEB,2,2,7,2032,4378,1095,0.96803653,0.646213917,0.663214041,60,19,164,3.857161422,4.488811201
PAGEB,2,3,8,2033,4378,1095,0.966210046,0.719063522,0.772938644,60,19,164,3.926655468,4.589067157
PAGEB,2,4,9,2034,4379,1094,0.956124314,0.621750114,0.690283739,60,12,12,1.866333496,2.063095573
PAGEB,2,5,10,2035,4379,1094,0.946983547,0.599479592,0.665983082,60,10,10,2.187454785,2.369879971
PAGEB,3,1,11,2036,4378,1095,0.960730594,0.602148601,0.642193482,60,19,73,2.775772751,3.151832825
PAGEB,3,2,12,2037,4378,1095,0.969863014,0.744749141,0.783953103,60,16,129,3.913760581,4.426043622
PAGEB,3,3,13,2038,4378,1095,0.957990868,0.688706766,0.726728112,60,19,73,2.71443257,3.091015966
PAGEB,3,4,14,2039,4379,1094,0.9488117,0.542087733,0.632182058,55,7,7,0.82952126,1.01105479
PAGEB,3,5,15,2040,4379,1094,0.959780622,0.639860019,0.706330887,60,15,15,2.06621653,2.27288038
PAGEB,4,1,16,2041,4378,1095,0.957990868,0.656260048,0.742186583,60,7,7,2.040944378,2.210402182
PAGEB,4,2,17,2042,4378,1095,0.948858447,0.611725813,0.689983404,55,11,11,1.952815834,2.129993445
PAGEB,4,3,18,2043,4378,1095,0.962557078,0.666838522,0.743225799,60,17,65,2.928258056,3.281888399
PAGEB,4,4,19,2044,4379,1094,0.970749543,0.721933476,0.767729019,60,19,160,3.853172868,4.510682649
PAGEB,4,5,20,2045,4379,1094,0.961608775,0.670202584,0.713077903,60,17,142,3.907286588,4.47577876
PAGEB,5,1,21,2046,4378,1095,0.955251142,0.611454629,0.68263194,55,17,17,1.966211654,2.163885135
PAGEB,5,2,22,2047,4378,1095,0.947031963,0.591085247,0.675303345,60,8,8,1.835589144,2.01750238
PAGEB,5,3,23,2048,4378,1095,0.957077626,0.643952983,0.74799276,55,1,1,0.247282661,0.396009736
PAGEB,5,4,24,2049,4379,1094,0.960694698,0.6421075,0.707671745,60,12,12,1.886182349,2.069106
PAGEB,5,5,25,2050,4379,1094,0.957038391,0.687700381,0.734172292,60,8,8,1.155375861,1.337214815
Thyroid,1,1,1,2026,5760,1440,0.926388889,0.333333333,0.320596011,5,0,0,0.044624662,0.110241313
Thyroid,1,2,2,2027,5760,1440,0.925694444,0.333333333,0.32047121,5,0,0,0.043506084,0.112888617
Thyroid,1,3,3,2028,5760,1440,0.925694444,0.333333333,0.32047121,5,0,0,0.042751969,0.107314481
Thyroid,1,4,4,2029,5760,1440,0.925694444,0.333333333,0.32047121,5,0,0,0.042848752,0.106419418
Thyroid,1,5,5,2030,5760,1440,0.925694444,0.333333333,0.32047121,5,0,0,0.042680427,0.10660205
Thyroid,2,1,6,2031,5760,1440,0.926388889,0.333333333,0.320596011,5,1,1,0.08145047,0.145497743
Thyroid,2,2,7,2032,5760,1440,0.925694444,0.333333333,0.32047121,5,0,0,0.043168621,0.108865193
Thyroid,2,3,8,2033,5760,1440,0.925694444,0.333333333,0.32047121,5,0,0,0.115544803,0.179944002
Thyroid,2,4,9,2034,5760,1440,0.925694444,0.333333333,0.32047121,5,0,0,0.043073702,0.106997129
Thyroid,2,5,10,2035,5760,1440,0.925694444,0.333333333,0.32047121,5,0,0,0.043727024,0.11138488
Thyroid,3,1,11,2036,5760,1440,0.926388889,0.333333333,0.320596011,5,0,0,0.04275927,0.1075489
Thyroid,3,2,12,2037,5760,1440,0.925694444,0.333333333,0.32047121,5,0,0,0.043081396,0.10779329
Thyroid,3,3,13,2038,5760,1440,0.925694444,0.333333333,0.32047121,5,0,0,0.043512436,0.107879761
Thyroid,3,4,14,2039,5760,1440,0.925694444,0.333333333,0.32047121,5,0,0,0.042689758,0.106888597
Thyroid,3,5,15,2040,5760,1440,0.925694444,0.333333333,0.32047121,5,0,0,0.042690177,0.106733732
Thyroid,4,1,16,2041,5760,1440,0.926388889,0.333333333,0.320596011,5,0,0,0.0428178,0.106657022
Thyroid,4,2,17,2042,5760,1440,0.925694444,0.333333333,0.32047121,5,0,0,0.042607496,0.105946078
Thyroid,4,3,18,2043,5760,1440,0.925694444,0.333333333,0.32047121,5,0,0,0.042787355,0.106530123
Thyroid,4,4,19,2044,5760,1440,0.925694444,0.333333333,0.32047121,5,0,0,0.043388611,0.110361495
Thyroid,4,5,20,2045,5760,1440,0.925694444,0.333333333,0.32047121,5,0,0,0.043051035,0.107810715
Thyroid,5,1,21,2046,5760,1440,0.926388889,0.333333333,0.320596011,5,0,0,0.04268616,0.106863246
Thyroid,5,2,22,2047,5760,1440,0.925694444,0.333333333,0.32047121,5,0,0,0.042977745,0.10622537
Thyroid,5,3,23,2048,5760,1440,0.925694444,0.333333333,0.32047121,5,0,0,0.042608231,0.106668524
Thyroid,5,4,24,2049,5760,1440,0.925694444,0.333333333,0.32047121,5,0,0,0.042504169,0.105702259
Thyroid,5,5,25,2050,5760,1440,0.925694444,0.333333333,0.32047121,5,0,0,0.042688815,0.106839473
SATELLITE,1,1,1,2026,5148,1287,0.916083916,0.88754449,0.895631572,60,18,155,4.455806682,5.105740583
SATELLITE,1,2,2,2027,5148,1287,0.885780886,0.854168253,0.861109105,60,18,147,4.512279161,5.193296332
SATELLITE,1,3,3,2028,5148,1287,0.882672883,0.847730986,0.854003408,60,13,13,2.348579302,2.623894629
SATELLITE,1,4,4,2029,5148,1287,0.896658897,0.868920677,0.872943798,60,19,142,4.031143528,4.694805353
SATELLITE,1,5,5,2030,5148,1287,0.901320901,0.875150283,0.880929199,55,19,164,4.491621916,5.211247079
SATELLITE,2,1,6,2031,5148,1287,0.895104895,0.863421412,0.870627414,60,17,146,4.360501509,5.041817571
SATELLITE,2,2,7,2032,5148,1287,0.864024864,0.825839113,0.831383839,60,16,16,2.435449453,2.665873254
SATELLITE,2,3,8,2033,5148,1287,0.891996892,0.865221337,0.871161427,60,18,155,4.388899284,5.022688446
SATELLITE,2,4,9,2034,5148,1287,0.905982906,0.88059786,0.887469146,60,19,156,4.371010859,5.023643763
SATELLITE,2,5,10,2035,5148,1287,0.90986791,0.888103844,0.890391875,60,18,155,4.270490905,4.91910201
SATELLITE,3,1,11,2036,5148,1287,0.90986791,0.877968144,0.887163646,60,18,147,4.317109379,4.937068058
SATELLITE,3,2,12,2037,5148,1287,0.902097902,0.876119552,0.880225974,55,19,156,4.277963837,4.912314961
SATELLITE,3,3,13,2038,5148,1287,0.898989899,0.872196198,0.877423768,60,17,146,4.476426875,5.134831593
SATELLITE,3,4,14,2039,5148,1287,0.891219891,0.860717543,0.866038853,60,17,118,3.824483017,4.39657834
SATELLITE,3,5,15,2040,5148,1287,0.871017871,0.833179101,0.839636873,60,13,13,2.353178569,2.567062858
SATELLITE,4,1,16,2041,5148,1287,0.892773893,0.864679742,0.872157381,60,19,156,4.395918489,5.048745011
SATELLITE,4,2,17,2042,5148,1287,0.902874903,0.875133471,0.877710682,60,18,147,4.317689574,4.943195573
SATELLITE,4,3,18,2043,5148,1287,0.892773893,0.865412076,0.869487166,60,18,147,4.574695542,5.234036535
SATELLITE,4,4,19,2044,5148,1287,0.865578866,0.826598063,0.834642943,60,16,16,2.372694842,2.605787853
SATELLITE,4,5,20,2045,5148,1287,0.907536908,0.879614959,0.885976055,60,16,139,4.415164911,5.074114758
SATELLITE,5,1,21,2046,5148,1287,0.892773893,0.86183162,0.867691353,60,19,156,4.255704053,4.932751287
SATELLITE,5,2,22,2047,5148,1287,0.869463869,0.833339117,0.839288994,60,18,18,2.331367943,2.584328491
SATELLITE,5,3,23,2048,5148,1287,0.909090909,0.883153624,0.888082308,60,19,156,4.487207968,5.142086427
SATELLITE,5,4,24,2049,5148,1287,0.895881896,0.863621807,0.871403738,60,16,137,4.372743434,4.983443157
SATELLITE,5,5,25,2050,5148,1287,0.891219891,0.863539759,0.869191592,60,20,61,3.035636717,3.422332798
TEXTURE,1,1,1,2026,4400,1100,0.979090909,0.979090909,0.979141407,60,17,17,2.206854139,2.418553529
TEXTURE,1,2,2,2027,4400,1100,0.978181818,0.978181818,0.978139474,55,10,10,2.125971667,2.319672505
TEXTURE,1,3,3,2028,4400,1100,0.971818182,0.971818182,0.971823331,60,4,4,0.776496737,0.958316517
TEXTURE,1,4,4,2029,4400,1100,0.972727273,0.972727273,0.972572423,60,16,35,2.364521421,2.628886583
TEXTURE,1,5,5,2030,4400,1100,0.970909091,0.970909091,0.970968767,60,8,8,2.150226785,2.329800916
TEXTURE,2,1,6,2031,4400,1100,0.967272727,0.967272727,0.967172142,60,12,12,2.130714564,2.323042839
TEXTURE,2,2,7,2032,4400,1100,0.966363636,0.966363636,0.966325886,60,16,16,2.146362299,2.35151964
TEXTURE,2,3,8,2033,4400,1100,0.971818182,0.971818182,0.971782221,60,7,7,2.223273104,2.399595616
